STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
        853;2022011515:17;    1;   -999;   12.0;   14.0;  21;    85.36;2022011516:00;eor
        853;2022011516:17;    1;   -999;    1.0;    1.0;   2;    93.01;2022011517:00;eor
        853;2022011517:18;    1;   -999;    0.0;    0.0;   0;   101.60;2022011518:00;eor
        853;2022011518:18;    1;   -999;    0.0;    0.0;   0;   110.80;2022011519:00;eor
        853;2022011519:18;    1;   -999;    0.0;    0.0;   0;   120.25;2022011520:00;eor
        853;2022011520:18;    1;   -999;    0.0;    0.0;   0;   129.57;2022011521:00;eor
        853;2022011521:18;    1;   -999;    0.0;    0.0;   0;   138.24;2022011522:00;eor
        853;2022011522:18;    1;   -999;    0.0;    0.0;   0;   145.37;2022011523:00;eor
        853;2022011523:18;    1;   -999;    0.0;    0.0;   0;   149.62;2022011600:00;eor
        853;2022011600:18;    1;   -999;    0.0;    0.0;   0;   149.61;2022011601:00;eor
        853;2022011601:18;    1;   -999;    0.0;    0.0;   0;   145.35;2022011602:00;eor
        853;2022011602:18;    1;   -999;    0.0;    0.0;   0;   138.21;2022011603:00;eor
        853;2022011603:18;    1;   -999;    0.0;    0.0;   0;   129.53;2022011604:00;eor
        853;2022011604:18;    1;   -999;    0.0;    0.0;   0;   120.19;2022011605:00;eor
        853;2022011605:18;    1;   -999;    0.0;    0.0;   0;   110.73;2022011606:00;eor
        853;2022011606:18;    1;   -999;    0.0;    0.0;   0;   101.52;2022011607:00;eor
        853;2022011607:18;    1;   -999;    1.0;    1.0;   0;    92.91;2022011608:00;eor
        853;2022011608:18;    1;   -999;   15.0;   19.0;  19;    85.25;2022011609:00;eor
        853;2022011609:18;    1;   -999;   37.0;   55.0;  53;    78.93;2022011610:00;eor
        853;2022011610:18;    1;   -999;   49.0;   72.0;  60;    74.38;2022011611:00;eor
        853;2022011611:18;    1;   -999;   44.0;   50.0;  23;    71.99;2022011612:00;eor
        853;2022011612:18;    1;   -999;   21.0;   21.0;   0;    71.98;2022011613:00;eor
        853;2022011613:18;    1;   -999;    8.0;    8.0;   0;    74.36;2022011614:00;eor
        853;2022011614:18;    1;   -999;    8.0;    8.0;   0;    78.90;2022011615:00;eor
        853;2022011615:18;    1;   -999;    3.0;    3.0;   0;    85.20;2022011616:00;eor
        853;2022011616:18;    1;   -999;    0.0;    0.0;   0;    92.85;2022011617:00;eor
        853;2022011617:18;    1;   -999;    0.0;    0.0;   0;   101.46;2022011618:00;eor
        853;2022011618:18;    1;   -999;    0.0;    0.0;   0;   110.66;2022011619:00;eor
        853;2022011619:18;    1;   -999;    0.0;    0.0;   0;   120.11;2022011620:00;eor
        853;2022011620:18;    1;   -999;    0.0;    0.0;   0;   129.43;2022011621:00;eor
        853;2022011621:18;    1;   -999;    0.0;    0.0;   0;   138.08;2022011622:00;eor
        853;2022011622:18;    1;   -999;    0.0;    0.0;   0;   145.20;2022011623:00;eor
        853;2022011623:18;    1;   -999;    0.0;    0.0;   0;   149.43;2022011700:00;eor
        853;2022011700:18;    1;   -999;    0.0;    0.0;   0;   149.42;2022011701:00;eor
        853;2022011701:18;    1;   -999;    0.0;    0.0;   0;   145.18;2022011702:00;eor
        853;2022011702:18;    1;   -999;    0.0;    0.0;   0;   138.05;2022011703:00;eor
        853;2022011703:18;    1;   -999;    0.0;    0.0;   0;   129.39;2022011704:00;eor
        853;2022011704:18;    1;   -999;    0.0;    0.0;   0;   120.05;2022011705:00;eor
        853;2022011705:18;    1;   -999;    0.0;    0.0;   0;   110.59;2022011706:00;eor
        853;2022011706:18;    1;   -999;    0.0;    0.0;   0;   101.37;2022011707:00;eor
        853;2022011707:18;    1;   -999;    0.0;    0.0;   0;    92.75;2022011708:00;eor
        853;2022011708:18;    1;   -999;    1.0;    2.0;   0;    85.08;2022011709:00;eor
        853;2022011709:18;    1;   -999;    7.0;    7.0;   0;    78.75;2022011710:00;eor
        853;2022011710:18;    1;   -999;    8.0;    9.0;   0;    74.20;2022011711:00;eor
        853;2022011711:18;    1;   -999;   14.0;   14.0;   0;    71.79;2022011712:00;eor
        853;2022011712:18;    1;   -999;   12.0;   12.0;   0;    71.79;2022011713:00;eor
        853;2022011713:18;    1;   -999;   16.0;   16.0;   0;    74.17;2022011714:00;eor
        853;2022011714:18;    1;   -999;   12.0;   12.0;   0;    78.71;2022011715:00;eor
        853;2022011715:18;    1;   -999;    2.0;    2.0;   0;    85.03;2022011716:00;eor
        853;2022011716:18;    1;   -999;    0.0;    0.0;   0;    92.69;2022011717:00;eor
